Site_Name,Site_Code,UTM_Zone,Easting,Northing,Long,Lat
Corolitta ,PZC,16Q,391885,1967918,-88.02006618,17.79607072
Lobe City,LOB,16Q,392017,1906365,-88.01572198,17.23978271
No-manns land ,NML,16Q,392579,1906367,-88.01043633,17.23982741
Tap tap fish ,TTF,16Q,393822,1966286,-88.00171038,17.78141602
The Swash ,S,16Q,393927,1963507,-88.00058017,17.75630596
CCC Fore ,CCCFore,16Q,394079,1957698,-87.99885562,17.70381439
North Channel ,NC,16Q,394424,1967918,-87.99611337,17.79619413
Raggedy Ann ,RA,16Q,394419,1959791,-87.99575407,17.72274621
Elkhorn Point ,EP,16Q,394464,1968256,-87.99575295,17.79925071
Island ,I,16Q,394839,1966980,-87.99215143,17.78773687
