Transect , Dominant_species, Pcnt_seagrass,Pcnt_EA,Pcnt_SI,Pcnt_TH,Pcnt_HU,Pcnt_CS,Pcnt_TC, Fish_species,Fish_abundance, Invert_species ,Invert_abundance
25,CS,83,0,0,194,10,221,0,3,14,2,2
26,CS,72,0,15,0,5,340,0,5,42,4,5
24,CS,67,0,0,70,75,190,0,7,8,2,2
8,CS,65,115,0,0,0,210,0,9,19,2,4
34,CS,60,30,75,0,70,125,0,4,13,1,3
37,CS,51.4,65,85,0,12,95,0,5,15,7,19
35,CS,50,105,0,0,0,145,0,10,39,4,4
41,CS,50,65,45,0,0,140,0,5,19,4,7
23,CS,47,0,5,0,0,70,0,4,73,5,13
40,CS,41,50,0,0,0,155,0,9,85,3,10
18,CS,34,0,0,30,10,130,0,4,19,4,5
27,CS,34,0,0,30,10,123.6,0,4,106,0,0
28,CS,8,0,0,0,0,40,0,3,111,1,2
33,CS,0.48,60,80,0,0,100,0,2,9,1,1
21,EA,70,120,67,0,0,0,0,8,81,0,0
13,EA,68,130,120,0,0,80,10,6,19,3,3
39,EA,56,280,0,0,0,0,0,4,9,4,5
3,EA,52,250,0,10,0,0,0,3,7,4,5
22,EA,43,120,95,0,0,0,0,4,12,5,12
6,EA,41,155,60,0,0,0,0,13,53,4,65
12,EA,39,190,5,0,0,0,0,10,35,4,12
36,EA,37,130,5,0,0,50,0,5,21,2,10
38,EA,37,150,0,0,0,35,0,7,21,6,14
5,EA,31,155,0,0,0,0,0,7,42,4,6
11,EA,29.4,130,0,0,0,17,0,9,29,9,56
9,EA,28.4,95,0,0,30,17,0,18,92,5,42
4,EA,26,115,15,0,0,0,0,10,53,4,14
10,EA,20,70,0,0,0,30,0,10,35,5,25
2,HU,67,0,0,150,105,80,0,1,3,2,22
19,SI,64,0,250,0,0,30,0,4,8,2,2
7,SI,54,49,132,50,0,59,0,2,5,3,72
15,SI,49,0,147,128,0,0,0,5,92,3,14
20,SI,45,17,110,0,0,98,0,8,39,3,8
14,SI,38,0,110,60,0,0,20,18,205,6,16
17,SI,29,0,135,45,0,0,0,8,37,3,3
16,SI,21,0,45,20,0,0,40,11,77,5,40
1,TH,59,0,0,175,0,120,0,2,8,3,42
31,TH,48,20,70,150,0,0,0,5,20,1,1
32,TH,20,35,10,55,0,0,0,3,16,1,1
